sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
P64_v1;839928.08;816490.56;1;0.00;2.00;;wash boring;Wash Boring / No Recovery;1.00
P64_v1;839928.08;816490.56;1;2.00;3.00;;Rounded to subrounded COBBLES and fine to coarse GRAVELS, no recovery assumed, finer material washed out. No recovery 2.54-3.00m.;Alluvium;0.95
P64_v1;839928.08;816490.56;1;3.00;11.70;;wash boring;Wash Boring / No Recovery;1.00
P64_v1;839928.08;816490.56;2;11.70;12.20;IV/III;Moderately strong to moderately weathered, pale grey, yellowish yellow, moderately to highly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonitic and stained joints, dipping 15 degrees to 35 degrees.;Granite;0.95
P64_v1;839928.08;816490.56;2;12.20;16.00;;wash boring;Wash Boring / No Recovery;1.00
P64_v1;839928.08;816490.56;2;16.00;17.87;III;Moderately strong, pinkish grey, spotted black and white, moderately decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonitic and manganese stained joints, dipping 5 degrees to 25 degrees. (wash boring at 17.53-17.87m);Granite;0.90
P64_v1;839928.08;816490.56;2;17.87;19.33;III/II;Strong, pinkish grey, spotted black and white, moderately to slightly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonitic and manganese stained joints, dipping 5 degrees to 15 degrees.;Granite;0.95
P64_v1;839928.08;816490.56;2;19.33;20.70;II;Strong, pinkish grey, spotted black and white, slightly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonitic and manganese stained joints, dipping 5 degrees to 10 degrees.;Granite;0.90
P64_v1;839928.08;816490.56;3;20.70;22.00;II;moderately strong to slightly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonitic and manganese stained joints, dipping 5 degrees to 10 degrees.;Granite;0.95
P64_v1;839928.08;816490.56;3;22.00;24.98;III/II;moderately strong to slightly decomposed zone.;Granite;0.95
