sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
B4_v1;839907.63;816522.55;1;0.00;0.80;;Concrete Slab with steel bars;Concrete;0.95
B4_v1;839907.63;816522.55;1;0.80;18.35;;Wash boring. (No recovery);Wash Boring;0.90
B4_v1;839907.63;816522.55;2;18.35;19.45;IV/III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints. 19.25m-19.45m: no recovery.;Granite;0.95
B4_v1;839907.63;816522.55;2;19.45;20.58;IV;Moderately weak to moderately strong, brownish pink spotted black and white, highly decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;20.58;20.73;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;20.73;21.19;II/III;Moderately weak to moderately strong, brownish pink spotted black and white, slightly to moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;21.19;21.33;II;Moderately weak to moderately strong, brownish pink spotted black and white, slightly decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;21.33;21.58;II/III;Moderately weak to moderately strong, brownish pink spotted black and white, slightly to moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;21.58;21.73;II;Moderately weak to moderately strong, brownish pink spotted black and white, slightly decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;21.73;21.90;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;21.90;22.33;II;Moderately weak to moderately strong, brownish pink spotted black and white, slightly decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;22.33;22.58;II/III;Moderately weak to moderately strong, brownish pink spotted black and white, slightly to moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;22.58;23.99;II;Moderately weak to moderately strong, brownish pink spotted black and white, slightly decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;23.99;28.14;I;Moderately weak to moderately strong, brownish pink spotted black and white, fresh, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
