sep=;
Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
DH5_v1;1;0.00;0.20;Concrete Slab;Fill;High
DH5_v1;1;0.20;2.00;Brown, gravelly silty medium to coarse SAND;Fill;High
DH5_v1;1;2.00;4.10;Angular Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some red bricks and concrete fragments;Fill;High
DH5_v1;1;4.10;19.00;Wash boring;No recovery;High
DH5_v1;2;19.00;19.80;Sub-rounded Boulders, Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
DH5_v1;3;19.80;20.10;Boulder;Boulder;High
DH5_v1;3;20.10;23.78;Wash boring;No recovery;High
DH5_v1;3;23.78;24.44;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
DH5_v1;3;24.44;25.49;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse granite;Granite;High
DH5_v1;3;25.49;32.21;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
