B1a;1;0.00;0.20;CONCRETE SLAB;Fill;High
B1a;1;0.20;1.20;gravelly silty medium to coarse SAND;Sand;High
B1a;1;1.20;11.00;No recovery;No Recovery;Low
B1a;2;11.00;11.30;Wash boring;No Recovery;Low
B1a;2;11.30;16.50;Sub-rounded granitic boulder and decomposed granite with silty clay matrix;Tuff;High
B1a;2;16.50;18.30;Sub-rounded granitic boulder and decomposed granite with silty clay matrix;Tuff;High
B1a;2;18.30;19.00;Sub-rounded granitic boulder and decomposed granite with silty clay matrix;Tuff;High
B1a;2;19.00;23.54;Wash boring;No Recovery;Low
B1a;3;23.54;24.80;Moderately strong to strong, brownish pink spotted black and white, fine to medium grained GRANITE with quartz veins, narrow to extremely narrow, rough planar to slightly undulating and kaolin coated joints, dipping 10^-20, 30^-40 and 50^-60^.;Granite;High
B1a;3;24.80;25.55;Moderately strong to strong, brownish pink spotted black and white, fine to medium grained GRANITE with quartz veins, narrow to extremely narrow, rough planar to slightly undulating and kaolin coated joints, dipping 10^-20, 30^-40 and 50^-60^.;Granite;High
B1a;3;25.55;26.74;Moderately strong to strong, brownish pink spotted black and white, fine to medium grained GRANITE with quartz veins, narrow to extremely narrow, rough planar to slightly undulating and kaolin coated joints, dipping 10^-20, 30^-40 and 50^-60^.;Granite;High
B1a;3;26.74;28.26;Moderately strong to strong, brownish pink spotted black and white, fine to medium grained GRANITE with quartz veins, narrow to extremely narrow, rough planar to slightly undulating and kaolin coated joints, dipping 10^-20, 30^-40 and 50^-60^.;Granite;High
B1a;3;28.26;28.95;Moderately strong to strong, brownish pink spotted black and white, fine to medium grained GRANITE with quartz veins, narrow to extremely narrow, rough planar to slightly undulating and kaolin coated joints, dipping 10^-20, 30^-40 and 50^-60^.;Granite;High
B1a;3;28.95;29.79;Moderately strong to strong, brownish pink spotted black and white, fine to medium grained GRANITE with quartz veins, narrow to extremely narrow, rough planar to slightly undulating and kaolin coated joints, dipping 10^-20, 30^-40 and 50^-60^.;Granite;High
B1a;4;29.79;31.57;Moderately strong to strong, brownish pink spotted black and white, fine to medium grained GRANITE with quartz veins, narrow to extremely narrow, rough planar to slightly undulating and kaolin coated joints, dipping 10^-20, 30^-40 and 50^-60^.;Granite;High
B1a;4;31.57;32.00;Moderately strong to strong, brownish pink spotted black and white, fine to medium grained GRANITE with quartz veins, narrow to extremely narrow, rough planar to slightly undulating and kaolin coated joints, dipping 10^-20, 30^-40 and 50^-60^.;Granite;High
B1a;4;32.00;32.20;End of hole;No Recovery;High
