Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
P4;1;0.00;2.80;wash boring;No Recovery;High
P4;1;2.80;3.30;Rounded and subrounded COBBLES and fine to coarse GRAVEL, CONCRETE. No recovery assumed finer material washed out.;Fill;High
P4;1;3.30;19.17;wash boring;No Recovery;High
P4;2;19.17;19.30;Rounded and subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed finer material washed out.;Gravel;High
P4;2;19.30;23.40;wash boring;No Recovery;High
P4;3;23.40;23.60;Rounded and subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed finer material washed out.;Gravel;High
P4;3;23.60;25.84;Moderately weak, brownish grey, spotted black and yellow, moderately to highly decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15° to 35°.;Granite;High
P4;3;25.84;26.17;Moderately weak, brownish grey, spotted black, moderately to highly decomposed, medium grained GRANITE with extremely closely to closely spaced, moderately narrow to narrow, rough stepped, limonite and manganese stained joints, dipping 15° to 35°.;Granite;High
P4;3;26.17;28.15;Moderately strong to strong, brownish and pinkish grey, spotted black and white, moderately to slightly decomposed, medium grained GRANITE with closely to extremely narrow, limonite stained joints, dipping 5° to 15°.;Granite;High
P4;3;28.15;28.92;Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE with medium spaced, extremely narrow, clean joints, dipping 5° to 10°.;Granite;High
