sep=;
Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
DH19;1;0.00;1.00;Angular red brick and concrete fragments with some grey, silty SAND (FILL).;Fill;High
DH19;1;1.00;18.50;Wash Boring (No Recovery).;No recovery;High
DH19;2;18.50;19.30;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some brown silty SAND (ALLUVIUM).;Alluvium;High
DH19;2;19.30;24.60;Wash Boring (No Recovery).;No recovery;High
DH19;3;24.60;28.64;Moderately strong, brownish pink spotted black and white, moderately to decomposed medium to coarse grained GRANITE with widely spaced medium and occasionally closely spaced very narrow, rough planar, smooth, mostly weathered and open core joints dipping 15-20, 30-40 and vertical joints.;Granite;High
DH19;3;28.64;30.37;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;High
DH34;1;0.00;0.80;Concrete Slab. Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
DH34;1;0.80;6.30;Concrete with Cobbles and Gravels of moderately decomposed granite. (FILL);Fill;High
DH34;1;6.30;7.00;No recovery;No recovery;Medium
DH34;1;7.00;9.00;Angular Boulders, Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some concrete fragments (FILL);Fill;High
DH34;1;9.00;21.00;Wash boring. (No recovery);No recovery;High
DH34;3;21.00;22.00;Sub-rounded Cobbles and Gravels of moderately decomposed tuff and granite, with some brown, silty SAND. (ALLUVIUM);Alluvium;High
DH34;3;22.00;27.00;Wash boring. (No recovery);No recovery;High
DH34;3;27.00;32.53;Moderately strong, brownish pink spotted black and white, moderately decomposed coarse to coarse grained GRANITE with widely to medium spaced sub-vertical very closely spaced, very narrow to extremely narrow, rough to flat, kaolinite, iron-stainez stained, kaolin coated joints, dipping 10-20, 50-60;Granite;High
DH40;1;0.00;0.77;Concrete Slab.;Concrete;High
DH40;1;0.77;1.80;Brownish grey silty medium to coarse SAND. (FILL);Sand (Fill);High
DH40;1;1.80;8.60;Angular GRAVEL and COBBLES of moderately decomposed granite and fine to coarse sand with DARK and some red bricks and concrete fragments. (FILL);Gravel (Fill);High
DH40;1;8.60;20.48;Wash boring. (No recovery);No recovery;High
DH40;3;20.48;24.70;Moderately strong, brownish pink moderately to very highly decomposed medium to coarse grained GRANITE with medium spaced and occasionally closely spaced, very close to extremely narrow, rough planar, undulate, iron stained and kaolin coated joints, dipping 10-20 & 70-80.;Granite;High
DH40;3;24.70;25.88;No recovery.;No recovery;High
DH40;3;25.88;29.95;Weak to moderately strong brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;High
DH42;1;0.00;0.80;Concrete Slab. Brown, gravelly silty medium to coarse SAND. (FILL);Fill/Concrete;High
DH42;1;0.80;1.40;Concrete with cobbles and gravels of moderately decomposed granite and some red bricks. (FILL);Fill/Concrete;High
DH42;1;1.40;2.76;Wash boring. (No recovery);No recovery;High
DH42;1;2.76;5.00;Angular Boulders, Cobbles and Gravels of moderately decomposed granite with some brown silty SAND and some red bricks. (FILL);Fill;High
DH42;1;5.00;6.20;No recovery (gap in log between layers);No recovery;High
DH42;1;6.20;29.00;Wash boring. (No recovery);No recovery;High
