sep=;
Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
A5a;1;0.00;3.50;Angular COBBLES and GRAVELS of moderately decomposed granite with some brown silty SAND and some concrete fragments. (FILL);Fill;High
A5a;1;3.50;18.70;Wash Boring. (No Recovery);No Recovery;High
A5a;2;18.70;19.30;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some grey silty sand. (ALLUVIUM);Alluvium;High
A5a;2;19.30;20.70;Wash Boring. (No Recovery);No Recovery;High
A5a;3;20.70;25.90;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, extremely narrow to very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees and 70 degrees-80 degrees.;Granite;High
B1;1;0.00;0.20;Concrete slab.;Concrete;High
B1;1;0.20;2.00;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
B1;1;2.00;19.00;Wash boring. No recovery at 2.00m-19.00m.;No Recovery;High
B1;2;19.00;19.30;Sub-angular Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND. (ALLUVIUM);Alluvium;High
B1;2;19.30;22.83;No recovery.;No Recovery;High
B1;3;22.83;23.52;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite and manganese stained joints, dipping 10 degrees-20 degrees, 70 degrees-85 degrees.;Granite;High
B1;3;23.52;23.82;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed GRANITE.;Granite;High
B1;3;23.82;24.11;Weak, highly decomposed zone. No recovery 23.97-24.11m.;Granite;High
B1;3;24.11;33.32;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE.;Granite;High
B1a;1;0.0;0.2;CONCRETE SLAB;Concrete;High
B1a;1;0.2;2.0;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
B1a;1;2.0;11.0;No recovery;No Recovery;High
B1a;2;11.0;11.3;Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
B1a;2;11.3;16.5;No recovery;No Recovery;High
B1a;2;16.5;18.3;Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND No recovery 16.9-18.3m.;Alluvium;High
B1a;2;18.3;19.0;Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
B1a;2;19.0;23.54;No recovery;No Recovery;High
B1a;3;23.54;32.2;Moderately strong to strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
B2;1;0.00;0.20;Concrete Slab;Concrete;High
B2;1;0.20;1.50;Wash boring;No recovery;High
B2;1;1.50;3.33;Concrete with cobbles and gravels of moderately decomposed granite (FILL);Fill;High
B2;1;3.33;24.60;Wash boring;No recovery;High
B2;3;24.60;25.03;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees;Granite;High
B2;3;25.03;25.20;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
B2;3;25.20;25.60;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees;Granite;High
B2;3;25.60;25.74;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
B2;3;25.74;34.17;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees;Granite;High
B2A;1;0.0;0.2;Concrete Slab;Concrete;High
B2A;1;0.2;1.4;Wash boring;No recovery;High
B2A;1;1.4;2.8;Concrete with cobbles and gravels of moderately decomposed granite and occasionally some steel fragment;Fill;High
B2A;1;2.8;18.0;Wash boring;No recovery;High
B2A;2;18.0;18.5;Sub-rounded cobbles and gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
B2A;2;18.5;22.8;Wash boring;No recovery;High
