Hole No,Sheet No,Start Depth,End Depth,Soil/Rock Description,Soil/Rock Type,Confidence Level
B6A_v1,1,0,2.5,0.00-2.50m: wash boring,No Recovery,High
B6A_v1,1,2.5,2.9,"Rounded to subrounded, COBBLES and fine to coarse GRAVEL. No recovery assumed, finer material washed out. (FILL)",Fill,High
B6A_v1,1,2.9,14.9,2.90-14.90m: wash boring.,No Recovery,High
B6A_v1,2,14.9,15.9,"Moderately strong to moderately weak, brownish grey, spotted black and white, moderately to highly decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees to 35 degrees.",Granite,High
B6A_v1,2,15.9,20.55,15.90-20.55m: wash boring,No Recovery,High
B6A_v1,3,20.55,21.58,"Moderately strong to strong, pinkish grey, spotted black and white, moderately to slightly decomposed medium grained GRANITE with closely to extremely closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees to 35 degrees.",Granite,High
B6A_v1,3,21.58,21.76,21.58-21.76m: no recovery assumed highly decomposed zone.,No Recovery,High
B6A_v1,3,21.76,22.72,"21.76-22.72m: moderately strong to weak, moderately to highly decomposed zone.",Granite,High
B6A_v1,3,22.72,28.5,"Moderately strong to strong, pinkish grey, spotted black and white, moderately to slightly decomposed medium grained GRANITE with closely spaced, very narrow to extremely narrow, rough undulating, limonite and manganese stained joints, dipping 5 degrees to 10 degrees.",Granite,High
B6B_v1,1,0,2,Inspection pit,Fill,High
B6B_v1,1,2,24.32,Wash boring,Soil,High
B6B_v1,3,24.32,27.9,"Moderately strong, brownish grey spotted yellow, moderately decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees-35 degrees.",Granite,High
B6B_v1,3,27.9,30.41,"Strong, pinkish grey spotted black, slightly decomposed, medium grained GRANITE, with closely to medium spaced, rough undulating, extremely narrow, clean, joints, dipping 5 degrees-10 degrees.",Granite,High
C6A_v1,1,0,1.1,Wash boring.,No Recovery,High
C6A_v1,1,1.1,2.4,"Rounded and sub-rounded COBBLES, fine to coarse GRAVEL and CONCRETE. No recovery, assumed finer material washed out. (FILL)",Fill,High
C6A_v1,1,2.4,18.95,Wash boring.,No Recovery,High
