sep=;
Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
B6A;1;0.00;2.50;0.00-2.50m: wash boring;No Recovery;High
B6A;1;2.50;2.90;Rounded to subrounded, COBBLES and fine to coarse GRAVEL. No recovery assumed, finer material washed out. (FILL);Fill;High
B6A;1;2.90;14.90;2.90-14.90m: wash boring.;No Recovery;High
B6A;2;14.90;15.90;Moderately strong to moderately weak, brownish grey, spotted black and white, moderately to highly decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees to 35 degrees.;Granite;High
B6A;2;15.90;20.55;15.90-20.55m: wash boring;No Recovery;High
B6A;3;20.55;21.58;Moderately strong to strong, pinkish grey, spotted black and white, moderately to slightly decomposed medium grained GRANITE with closely to extremely closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees to 35 degrees.;Granite;High
B6A;3;21.58;21.76;21.58-21.76m: no recovery assumed highly decomposed zone.;No Recovery;High
B6A;3;21.76;22.72;21.76-22.72m: moderately strong to weak, moderately to highly decomposed zone.;Granite;High
B6A;3;22.72;28.50;Moderately strong to strong, pinkish grey, spotted black and white, moderately to slightly decomposed medium grained GRANITE with closely spaced, very narrow to extremely narrow, rough undulating, limonite and manganese stained joints, dipping 5 degrees to 10 degrees.;Granite;High
B6B;1;0.00;2.00;Inspection pit;Fill;High
B6B;1;2.00;24.32;Wash boring;Soil;High
B6B;3;24.32;27.90;Moderately strong, brownish grey spotted yellow, moderately decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees-35 degrees.;Granite;High
B6B;3;27.90;30.41;Strong, pinkish grey spotted black, slightly decomposed, medium grained GRANITE, with closely to medium spaced, rough undulating, extremely narrow, clean, joints, dipping 5 degrees-10 degrees.;Granite;High
C6A;1;0.00;1.10;Wash boring.;No Recovery;High
C6A;1;1.10;2.40;Rounded and sub-rounded COBBLES, fine to coarse GRAVEL and CONCRETE. No recovery, assumed finer material washed out. (FILL);Fill;High
C6A;1;2.40;18.95;Wash boring.;No Recovery;High
C6A;2;18.95;19.80;Moderately strong, brownish grey spotted yellow, moderately decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees-35 degrees.;Granite;High
C6A;2;19.80;25.29;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed, medium grained GRANITE with closely to medium spaced, very narrow to extremely narrow, rough undulating, clean joints, dipping 5 degrees-10 degrees.;Granite;High
C6A;3;25.29;26.57;Strong to moderately strong, spotted black and white, slightly to moderately decomposed, medium grained GRANITE with closely to medium spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 5 degrees-10 degrees and 25 degrees-35 degrees.;Granite;High
P1;1;0.00;3.00;wash boring;Fill;High
P1;1;3.00;17.00;Rounded and subrounded COBBLES, fine to coarse GRAVEL and SAND with clay binder;Fill;High
P1;2;17.00;24.98;wash boring;Fill;High
P1;3;24.98;30.91;Moderately strong to moderately weak, weathered dark greyish black and yellow, moderately highly decomposed fine grained GRANITE with closely spaced, narrow to very narrow, fresh and sub-fresh to stained joints, dipping 15 degrees to 35 degrees.;Granite;High
P2;1;0.00;1.42;Wash boring.;No Recovery;High
P2;1;1.42;1.42;Rounded and sub-rounded COBBLES, GRAVEL and CONCRETE. No recovery, assumed finer material washed out. (FILL);Fill;High
P2;1;1.42;18.00;Wash boring.;No Recovery;High
P2;2;18.00;18.00;Rounded and sub-rounded COBBLES and fine to medium GRAVEL. Some fine material, possible residual soil in lower part. Recovery, assumed finer material washed out. (FILL);Fill;High
P2;2;18.00;24.65;Wash boring.;No Recovery;High
P2;3;24.65;30.79;Moderately weak, brownish grey spotted yellow, highly decomposed, weathered, dark GRAY GRANITE, extremely closely spaced, interlocking, narrow, very narrow undulating, limonite and manganese veining, dipping 50-60 degrees. Moderately strong, brownish grey spotted yellow, highly decomposed, medium grained Granodiorite, extremely closely spaced, narrow to very narrow undulating joints, and manganese stained joints, dipping 5-10 degrees and 15-35 degrees.;Granite;High
P3;1;0.0;3.0;wash boring;Fill;High
P3;1;3.0;24.3;Rounded and subrounded COBBLES and fine to coarse GRAVEL and CONCRETE. No recovery assumed finer material washed out. (FILL);Fill;High
P3;3;24.3;28.74;Moderately strong, brownish grey grey, spotted yellow, moderately decomposed, medium grained GRANITE with closely to extremely closely spaced, rough, undulating, narrow to very narrow, limonite and manganese stained joints, dipping 5 degrees to 15 degrees and 15 degrees to 35 degrees;Granite;High
P3;3;28.74;30.95;Moderately strong to strong, brownish grey, spotted yellow, moderately to slightly decomposed, medium grained GRANITE with closely spaced, rough, undulating, narrow, limonite and manganese stained, dipping 5 degrees to 10 degrees;Granite;High
P4;1;0.00;2.80;wash boring;Wash Boring;High
P4;1;2.80;3.30;Rounded and subrounded COBBLES and fine to coarse GRAVEL, CONCRETE. No recovery assumed finer material washed out.;No Recovery;High
P4;1;3.30;19.17;wash boring;Wash Boring;High
P4;2;19.17;19.30;Rounded and subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed finer material washed out.;No Recovery;High
P4;3;19.30;23.40;wash boring;Wash Boring;High
P4;3;23.40;23.60;Rounded and subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed finer material washed out.;No Recovery;High
P4;3;23.60;26.17;Moderately weak, brownish grey, spotted black and yellow, moderately to highly decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 to 35.;Granite;High
P4;3;26.17;27.05;Moderately weak, brownish grey, spotted black, moderately to highly decomposed, medium grained GRANITE with extremely closely to closely spaced, moderately narrow to narrow, rough stepped, limonite and manganese stained joints, dipping 15 to 35.;Granite;High
P4;3;27.05;28.15;Moderately strong to strong, brownish and pinkish grey, spotted black and white, moderately to slightly decomposed, medium grained GRANITE with closely to extremely narrow, limonite stained joints, dipping 5 to 15.;Granite;High
P4;3;28.15;28.92;Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE with medium spaced, extremely narrow, clean joints, dipping 5 to 10.;Granite;High
P61;1;0.0;1.6;Wash boring;Soil;High
P61;1;1.6;1.7;Concrete;Concrete;High
P61;1;1.7;2.2;Wash boring;Soil;High
P61;1;2.2;2.36;Concrete;Concrete;High
P61;1;2.36;17.57;Wash boring;Soil;High
P61;2;17.57;24.7;Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE, with closely to medium spaced, very narrow to extremely narrow, rough undulating, limonite and stained joints, dipping 5-10 degrees;Granite;High
P61;3;24.7;25.8;Strong to moderately strong, slightly to moderately decomposed zone;Granite;High
P62;1;0.00;3.00;wash boring;Wash Boring;High
P62;1;3.00;3.50;Rounded and subrounded COBBLES and fine to coarse GRAVEL and CONCRETE. No recovery assumed finer material was out.;Fill;High
P62;1;3.50;17.37;wash boring;Wash Boring;High
P62;2;17.37;24.91;Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE with closely to medium spaced, very narrow to extremely narrow, rough, undulating, clean joints, dipping 5 degrees to 10 degrees.;Granite;High
P63;1;0.00;2.00;0.00-2.00m: wash boring;Wash Boring;High
P63;1;2.00;3.50;Rounded to subrounded COBBLES and fine to coarse GRAVEL and CONCRETE. No recovery assumed, finer material washed out. (FILL);Fill;High
P63;1;3.50;17.55;3.50-17.55m: wash boring;Wash Boring;High
P63;2;17.55;20.30;Moderately strong, brownish grey, spotted yellow, moderately decomposed, medium grained GRANITE with closely to extremely closely spaced, moderately narrow to narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees to 35 degrees and occasional subvertical.;Granite;High
