sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
B6A_v1;839910.71;816492.51;1;0.00;2.50;;0.00-2.50m: wash boring;No Recovery;0.95
B6A_v1;839910.71;816492.51;1;2.50;2.90;;Rounded to subrounded, COBBLES and fine to coarse GRAVEL. No recovery assumed, finer material washed out. (FILL);Fill;0.95
B6A_v1;839910.71;816492.51;1;2.90;14.90;;2.90-14.90m: wash boring;No Recovery;0.95
B6A_v1;839910.71;816492.51;2;14.90;15.90;IV/III;Moderately strong to moderately weak, brownish grey, spotted black and white, moderately to highly decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees to 35 degrees.;Granite;0.95
B6A_v1;839910.71;816492.51;2;15.90;20.55;;15.90-20.55m: wash boring;No Recovery;0.95
B6A_v1;839910.71;816492.51;3;20.55;21.58;II/III;Moderately strong to strong, pinkish grey, spotted black and white, moderately to slightly decomposed medium grained GRANITE with closely to extremely closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees to 35 degrees.;Granite;0.95
B6A_v1;839910.71;816492.51;3;21.58;21.76;IV;21.58-21.76m: no recovery assumed highly decomposed zone.;Granite;0.95
B6A_v1;839910.71;816492.51;3;21.76;22.72;III/IV;21.76-22.72m: moderately strong to weak, moderately to highly decomposed zone.;Granite;0.95
B6A_v1;839910.71;816492.51;3;22.72;28.50;III/II;Moderately strong to strong, pinkish grey, spotted black and white, moderately to slightly decomposed medium grained GRANITE with closely spaced, very narrow to extremely narrow, rough undulating, limonite and manganese stained joints, dipping 5 degrees to 10 degrees.;Granite;0.95
B6B_v1;839902.31;816492.74;1;0.00;24.32;;Wash boring.;Wash Boring;0.98
B6B_v1;839902.31;816492.74;3;24.32;27.90;III;Moderately strong, brownish grey spotted yellow, moderately decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees-35 degrees.;Granite;0.98
B6B_v1;839902.31;816492.74;3;27.90;30.41;II;Strong, pinkish grey spotted black, slightly decomposed, medium grained GRANITE, with closely to medium spaced, rough undulating, extremely narrow, clean, joints, dipping 5 degrees-10 degrees.;Granite;0.98
C6A_v1;839919.10;816492.29;1;0.00;1.10;;Wash boring.;No Recovery;0.95
C6A_v1;839919.10;816492.29;1;1.10;2.40;;Rounded and sub-rounded COBBLES, fine to coarse GRAVEL and CONCRETE. No recovery, assumed finer material washed out. (FILL);Fill;0.95
C6A_v1;839919.10;816492.29;1;2.40;18.95;;Wash boring.;No Recovery;0.95
C6A_v1;839919.10;816492.29;2;18.95;19.80;III;Moderately strong, brownish grey spotted yellow, moderately decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees-35 degrees.;Granite;0.95
C6A_v1;839919.10;816492.29;3;19.80;25.29;II/III;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed, medium grained GRANITE with closely spaced, very narrow to extremely narrow, rough undulating, clean joints, dipping 5 degrees-10 degrees.;Granite;0.95
C6A_v1;839919.10;816492.29;3;25.29;26.57;II/III;Strong to moderately strong, spotted black and white, slightly to moderately decomposed, medium grained GRANITE with closely spaced to medium spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 5 degrees-10 degrees and 25 degrees-35 degrees.;Granite;0.95
P1_v1;839893.54;816492.21;1;0.00;3.00;;0.00-3.00m: wash boring;No Recovery;0.95
P1_v1;839893.54;816492.21;1;3.00;3.30;;Rounded and subrounded COBBLES, fine to coarse GRAVEL and CONCRETE. (FILL);Fill;0.95
P1_v1;839893.54;816492.21;1;3.30;17.00;;3.30-17.00m: washed boring;No Recovery;0.95
P1_v1;839893.54;816492.21;2;17.00;17.50;;Rounded and subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed finer material washed out.;Alluvium;0.95
P1_v1;839893.54;816492.21;2;17.50;24.98;;17.50-24.98m: wash boring;No Recovery;0.95
P1_v1;839893.54;816492.21;3;24.98;28.38;III/IV;Moderately strong to moderately weak, brownish grey, spotted black and yellow, moderately to highly decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, limonite and manganese stained joints, dipping 15 degrees to 35 degrees.;Granite;0.95
P1_v1;839893.54;816492.21;3;28.38;30.91;II;Strong, pinkish grey, spotted black and white, slightly decomposed medium grained GRANITE with closely to medium spaced, very narrow, rough undulating, clean joints, dipping 5 degrees to 10 degrees.;Granite;0.95
P2_v1;839893.70;816495.10;1;0.00;3.30;;Wash boring.;No Recovery;0.95
P2_v1;839893.70;816495.10;1;3.30;6.10;;Rounded and sub-rounded COBBLES, fine to coarse GRAVEL and CONCRETE. No recovery, assumed finer material washed out. (FILL);Fill;0.95
P2_v1;839893.70;816495.10;1;6.10;18.00;;Wash boring.;No Recovery;0.95
P2_v1;839893.70;816495.10;2;18.00;18.50;;Rounded and sub-rounded COBBLES and fine to coarse GRAVEL. No recovery, assumed finer material washed out. (FILL);Fill;0.95
P2_v1;839893.70;816495.10;2;18.50;24.65;;Wash boring.;No Recovery;0.95
P2_v1;839893.70;816495.10;3;24.65;26.25;IV;Moderately weak, brownish grey spotted yellow, highly decomposed, medium grained GRANITE with extremely closely spaced, moderately narrow to narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees-35 degrees.;Granite;0.95
P2_v1;839893.70;816495.10;3;26.25;30.79;III;Moderately strong, brownish grey spotted yellow, moderately decomposed, medium grained GRANITE with closely to extremely closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 5 degrees-10 degrees and 15 degrees-35 degrees.;Granite;0.95
P3_v1;839893.89;816497.92;1;0.00;3.00;;0.00m to 3.00m: wash boring/;No Recovery;0.95
P3_v1;839893.89;816497.92;1;3.00;3.50;;Rounded and subrounded COBBLES and fine to coarse GRAVEL and CONCRETE. No recovery assumed finer material washed out. (FILL);Fill;0.95
P3_v1;839893.89;816497.92;1;3.50;18.00;;wash boring.;No Recovery;0.95
P3_v1;839893.89;816497.92;2;18.00;18.50;;Angular COBBLES and GRAVEL, finer material washed out. (FILL);Fill;0.95
P3_v1;839893.89;816497.92;2;18.50;24.30;;wash boring.;No Recovery;0.95
P3_v1;839893.89;816497.92;3;24.30;28.74;III;Moderately strong, brownish grey grey, spotted yellow, moderately decomposed, medium grained GRANITE with closely to extremely closely spaced, rough, undulating, narrow to very narrow, limonite and manganese stained joints, dipping 5 degrees to 15 degrees and 15 degrees to 35 degrees.;Granite;0.95
P3_v1;839893.89;816497.92;3;28.74;30.95;III/II;Moderately strong to strong, brownish grey, spotted yellow, moderately to slightly decomposed, medium grained GRANITE with closely spaced, rough, undulating, narrow, limonite and manganese stained, dipping 5 degrees to 10 degrees.;Granite;0.95
P4_v1;839894.00;816500.44;1;0.00;2.80;;wash boring;Wash Boring / No Recovery;1.00
P4_v1;839894.00;816500.44;1;2.80;3.30;;Rounded and subrounded COBBLES in fine to coarse GRAVEL. No recovery assumed finer material washed out.;Alluvium;1.00
P4_v1;839894.00;816500.44;1;3.30;19.17;;wash boring;Wash Boring / No Recovery;1.00
P4_v1;839894.00;816500.44;2;19.17;19.30;;Rounded and subrounded COBBLES in fine to coarse GRAVEL. No recovery assumed finer material washed out.;Alluvium;1.00
P4_v1;839894.00;816500.44;3;19.30;23.40;;wash boring;Wash Boring / No Recovery;1.00
P4_v1;839894.00;816500.44;3;23.40;24.32;;Rounded and subrounded COBBLES in fine to coarse GRAVEL. No recovery assumed finer material washed out.;Alluvium;1.00
P4_v1;839894.00;816500.44;3;24.32;25.11;III/IV;Moderately weak, brownish grey, spotted black and yellow, moderately to highly decomposed, medium grained GRANITE with moderately closely to closely spaced, narrow, rough undulating limonite stained joints, dipping 30 degrees to 35 degrees;Granite;1.00
P4_v1;839894.00;816500.44;3;25.11;26.92;III/IV;Moderately weak, brownish grey, spotted black, moderately to highly decomposed, medium grained GRANITE with extremely closely to closely spaced, narrow rough planar to narrow, rough stepped, limonite and iron oxide stained joints, dipping 15 degrees to 35 degrees;Granite;1.00
P4_v1;839894.00;816500.44;3;26.92;28.15;II/III;Moderately strong to strong, brownish grey to pinkish grey, spotted black and white, moderately to slightly decomposed, medium grained GRANITE with closely to extremely closely spaced, broad to extremely narrow, limonite stained joints, dipping 0 degrees to 10 degrees;Granite;1.00
P4_v1;839894.00;816500.44;3;28.15;28.92;II;Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE with medium spaced, extremely narrow, clean joints, dipping 5 degrees to 10 degrees;Granite;1.00
P61_v1;839928.33;816500.02;1;0.00;1.60;;Wash boring.;Wash Boring;1.00
P61_v1;839928.33;816500.02;1;1.60;2.89;;Concrete;Concrete;1.00
P61_v1;839928.33;816500.02;1;2.89;2.90;;Wash boring.;Wash Boring;1.00
P61_v1;839928.33;816500.02;1;2.90;3.20;;Concrete;Concrete;1.00
P61_v1;839928.33;816500.02;1;3.20;17.57;;Wash boring.;Wash Boring;1.00
P61_v1;839928.33;816500.02;2;17.57;24.70;II;Strong pinkish grey, mottled black and white, slightly decomposed, medium grained GRANITE, with small to medium veins, very narrow to extremely narrow, tough, weathered, stained and stained joints, dipping 5-10 degrees.;Granite;1.00
P61_v1;839928.33;816500.02;3;24.70;25.80;III/II;strong to moderately strong, slightly to moderately decomposed zone.;Granite;1.00
P62_v1;839928.24;816496.80;1;0.00;3.00;;wash boring;Wash Boring;0.95
P62_v1;839928.24;816496.80;1;3.00;3.50;;Rounded and subrounded COBBLES and fine to coarse GRAVEL and SAND with a No recovery assumed finer material was out.;Alluvium;0.90
P62_v1;839928.24;816496.80;1;3.50;17.37;;wash boring;Wash Boring;0.95
P62_v1;839928.24;816496.80;2;17.37;24.91;II;Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE with closely to medium spaced, very closely to moderately close, rough, undulating, clean joints, dipping 5 degrees to 10 degrees.;Granite;0.90
P63_v1;839928.16;816493.66;1;0.00;2.00;;wash boring;No recovery;0.95
P63_v1;839928.16;816493.66;1;2.00;3.50;;Rounded to subrounded COBBLES and fine to coarse GRAVEL and CONCRETE. No recovery reported, finer material washed out. (FILL);Fill;0.90
P63_v1;839928.16;816493.66;1;3.50;17.55;;wash boring;No recovery;0.95
P63_v1;839928.16;816493.66;2;17.55;19.05;III;Moderately strong brown/ash grey, spotted black and white, moderately coarse to medium grained GRANITE with closely to moderately closely spaced, moderately narrow to narrow, rough, mainly fresh granite and manganese stained joints, dipping 25 degrees to 35 degrees and occasional subvertical.;Granite;0.90
P63_v1;839928.16;816493.66;2;19.05;20.30;III/II;Strong to moderately strong, brownish grey, spotted black and white, moderately coarse to medium grained GRANITE with closely spaced, moderately narrow to narrow, rough, mainly fresh granite and manganese stained joints, dipping 5 degrees to 10 degrees.;Granite;0.90
P63_v1;839928.16;816493.66;3;20.30;25.25;III/II;Strong to moderately strong, pinkish grey, spotted black and white, medium to moderately coarse grained, medium grained GRANITE with closely to moderately closely spaced, moderately narrow to narrow, rough, mainly fresh granite and manganese stained joints, dipping 5 degrees to 10 degrees.;Granite;0.90
P64_v1;839928.08;816490.56;1;0.00;2.00;;wash boring;Wash Boring / No Recovery;1.00
P64_v1;839928.08;816490.56;1;2.00;3.00;;Rounded to subrounded COBBLES and fine to coarse GRAVELS, no recovery assumed, finer material washed out. No recovery 2.54-3.00m.;Alluvium;0.95
P64_v1;839928.08;816490.56;1;3.00;11.70;;wash boring;Wash Boring / No Recovery;1.00
P64_v1;839928.08;816490.56;2;11.70;12.20;IV/III;Moderately strong to moderately weathered, pale grey, yellowish yellow, moderately to highly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonitic and stained joints, dipping 15 degrees to 35 degrees.;Granite;0.95
P64_v1;839928.08;816490.56;2;12.20;16.00;;wash boring;Wash Boring / No Recovery;1.00
P64_v1;839928.08;816490.56;2;16.00;17.87;III;Moderately strong, pinkish grey, spotted black and white, moderately decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonitic and manganese stained joints, dipping 5 degrees to 25 degrees. (wash boring at 17.53-17.87m);Granite;0.90
P64_v1;839928.08;816490.56;2;17.87;19.33;III/II;Strong, pinkish grey, spotted black and white, moderately to slightly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonitic and manganese stained joints, dipping 5 degrees to 15 degrees.;Granite;0.95
P64_v1;839928.08;816490.56;2;19.33;20.70;II;Strong, pinkish grey, spotted black and white, slightly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonitic and manganese stained joints, dipping 5 degrees to 10 degrees.;Granite;0.90
P64_v1;839928.08;816490.56;3;20.70;22.00;II;moderately strong to slightly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonitic and manganese stained joints, dipping 5 degrees to 10 degrees.;Granite;0.95
P64_v1;839928.08;816490.56;3;22.00;24.98;III/II;moderately strong to slightly decomposed zone.;Granite;0.95
A5a_v1;839897.28;816515.51;1;0.00;1.50;;Angular COBBLES and GRAVELS of moderately decomposed granite with sand and some silt, some and some concrete fragments. (FILL);Fill;0.98
A5a_v1;839897.28;816515.51;1;1.50;18.70;;Wash Boring. (No Recovery);Wash Boring;0.98
A5a_v1;839897.28;816515.51;2;18.70;19.30;;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some silt and sand. (ALLUVIUM);Alluvium;0.98
A5a_v1;839897.28;816515.51;2;19.30;20.50;;Wash Boring. (No Recovery);Wash Boring;0.98
A5a_v1;839897.28;816515.51;3;20.50;25.90;III;Moderately strong, brownish pink spotted black and white, moderately to slightly decomposed, fine to medium grained GRANITE with medium to widely spaced, extremely close to very narrow, rough planar, infinite, moderately stained and kaolin coated joints dipping 10 degrees-20 degrees and 70 degrees-80 degrees.;Granite;0.98
B1a_v1;839907.41;816560.26;1;0.00;2.00;;CONCRETE SLAB. Brown, gravelly silty medium to coarse SAND. (FILL) No recovery 0.20-2.00m.;Concrete;0.95
B1a_v1;839907.41;816560.26;1;2.00;11.00;;Wash boring. No recovery at 2.00m-11.00m.;Wash Boring;0.95
B1a_v1;839907.41;816560.26;2;11.00;11.30;;Sub-rounded cobbles and gravels, completely decomposed granite and tuff with some brown silty medium to coarse sand (ALLUVIUM);Alluvium;0.95
B1a_v1;839907.41;816560.26;2;11.30;16.50;;Wash boring. No recovery.;Wash Boring;0.95
B1a_v1;839907.41;816560.26;2;16.50;16.90;;Sub-rounded cobbles and gravels, completely decomposed granite and tuff with some brown silty medium to coarse sand (ALLUVIUM);Alluvium;0.95
B1a_v1;839907.41;816560.26;2;16.90;18.30;;Wash boring. No recovery.;Wash Boring;0.95
B1a_v1;839907.41;816560.26;2;18.30;19.00;;Sub-rounded cobbles and gravels, completely decomposed granite and tuff with some brown silty medium to coarse sand (ALLUVIUM);Alluvium;0.95
B1a_v1;839907.41;816560.26;2;19.00;23.54;;Wash boring. No recovery at 19.00m-23.54m.;Wash Boring;0.95
B1a_v1;839907.41;816560.26;3;23.54;32.20;III/II;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed coarse grained GRANITE with kaolin in joints, close to very narrow to extremely narrow, rough planar, slightly to moderately stained and kaolin coated joints, dipping 10 degrees-20 degrees, 30 degrees-40 degrees and 50 degrees-60 degrees.;Granite;0.95
B2_v1;839908.20;816543.92;1;0.00;0.50;;Concrete Slab. Wash boring. (No recovery);Concrete;0.95
B2_v1;839908.20;816543.92;1;0.50;2.94;;Wash boring. (No recovery);No recovery;0.95
B2_v1;839908.20;816543.92;1;2.94;3.30;;Concrete with cobbles and gravels of moderately decomposed granite. (FILL);Fill;0.95
B2_v1;839908.20;816543.92;1;3.30;20.16;;Wash boring. (No recovery);No recovery;0.95
B2_v1;839908.20;816543.92;3;20.16;24.60;III;Moderately weak to moderately strong, brownish pink, spotted black and white, moderately decomposed medium to coarse grained GRANITE. Slightly fractured, closely to very closely fractured, joints mainly rough planar. Moderately decomposed feldspars and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees+.;Granite;0.95
B2_v1;839908.20;816543.92;3;24.60;25.60;III;Moderately weak to moderately strong, brownish pink, spotted black and white, moderately decomposed medium to coarse grained GRANITE.;Granite;0.95
B2_v1;839908.20;816543.92;3;25.60;27.72;IV/III;weak to moderately strong brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;0.95
B2_v1;839908.20;816543.92;3;27.72;34.17;III/II;Granite;Granite;0.90
B2A_v1;839907.00;816539.32;1;0.00;0.24;;Concrete Slab.;Concrete;1.00
B2A_v1;839907.00;816539.32;1;0.24;1.40;;Wash boring. (No recovery);No Recovery;1.00
B2A_v1;839907.00;816539.32;1;1.40;3.04;;Concrete with cobbles and gravels of sub-angular to sub-rounded rock with occasionally some steel fragment. (FILL);Fill;1.00
B2A_v1;839907.00;816539.32;1;3.04;18.00;;Wash boring. (No recovery);No Recovery;1.00
B2A_v1;839907.00;816539.32;2;18.00;18.50;;Sub-rounded cobbles and gravels of moderately decomposed granite and sandstone in brown, silty SAND. (ALLUVIUM);Alluvium;1.00
B2A_v1;839907.00;816539.32;2;18.50;22.80;;Wash boring. (No recovery);No Recovery;1.00
