sep=;
Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
BLA_v1;1;0.0;0.2;CONCRETE SLAB;Concrete;High
BLA_v1;1;0.2;2.0;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
BLA_v1;1;2.0;11.0;No recovery;No Recovery;High
BLA_v1;2;11.0;11.3;Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
BLA_v1;2;11.3;16.5;No recovery;No Recovery;High
BLA_v1;2;16.5;16.9;Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
BLA_v1;2;16.9;18.3;No recovery;No Recovery;High
BLA_v1;2;18.3;19.0;Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
BLA_v1;2;19.0;23.54;No recovery;No Recovery;High
BLA_v1;3;23.54;32.2;Moderately strong to strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
