sep=;
Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
DH39_v1;1;0.00;0.20;Concrete Slab;Concrete;High
DH39_v1;1;0.20;1.30;Brown, gravelly silty medium to coarse SAND. (FILL);Sand;High
DH39_v1;1;1.30;1.75;Angular Boulder, Cobbles and Gravels of moderately decomposed granite with some brown silty SAND. (FILL);Granite;High
DH39_v1;1;1.75;3.21;1.37m-1.70m: boulder. Concrete with Cobbles and Gravels of moderately decomposed granite. (FILL);Granite;High
DH39_v1;1;3.21;6.45;Angular Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND. (FILL);Granite;High
DH39_v1;1;6.45;23.90;Wash boring. (No recovery);No Recovery;High
DH39_v1;3;23.90;24.43;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
DH39_v1;3;24.43;24.63;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
DH39_v1;3;24.63;24.93;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
DH39_v1;3;24.93;25.65;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
DH39_v1;3;25.65;27.44;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
DH39_v1;3;27.44;27.61;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
DH39_v1;3;27.61;27.77;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
DH39_v1;3;27.77;28.14;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
DH39_v1;3;28.14;33.61;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
