Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
P4;1;0.00;2.80;wash boring;Wash Boring;High
P4;1;2.80;3.30;Rounded and subrounded COBBLES in a fine to coarse GRAVEL. No recovery assumed finer material washed out.;Gravel with Cobbles;High
P4;1;3.30;19.17;wash boring;Wash Boring;High
P4;2;19.17;19.30;No recovery;No Recovery;High
P4;3;19.30;23.40;wash boring;Wash Boring;High
P4;3;23.40;24.32;Rounded and subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed finer material washed out.;Gravel with Cobbles;High
P4;3;24.32;25.84;Moderately weak, brownish grey, spotted black and yellow, moderately decomposed, medium grained GRANITE with closely to widely spaced, narrow, rough undulating, limonitic stained and weathered joints dipping 15° to 35°.;Granite;High
P4;3;25.84;27.05;Moderately strong, brownish grey, spotted black, moderately to highly decomposed, medium grained GRANITE with extremely closely to closely spaced, weathered, narrow to narrow, rough steeped, limonitic and weathered stained joints, dipping 15° to 35°.;Granite;High
P4;3;27.05;28.15;Moderately strong to strong, brownish grey, spotted black and white, moderately to slightly decomposed, medium grained GRANITE with closely to widely spaced, very rough to extremely narrow, limonitic stained joints, dipping 5° to 35°.;Granite;High
P4;3;28.15;28.92;Strong, brownish grey, spotted black and white, slightly decomposed, medium grained GRANITE with medium spaced, extremely narrow, clean joints, dipping 5° to 10°.;Granite;High
