Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
DH 6;1;0.00;0.50;GREY CONCRETE (PAVEMENT);Concrete;High
DH 6;1;0.50;1.00;Brownish yellow (10YR 6/8), very sandy SILT with some angular to subangular fine to medium gravel. (COLLUVIUM);Silty Sand with Gravel;High
DH 6;1;1.00;3.50;Very weak, brownish yellow (10YR 6/8) dappled light red, completely decomposed, TUFF BRECCIA. (Silt, clayey SILT);Tuff Breccia (Silt);High
DH 6;1;3.50;5.00;Very weak, brownish yellow (10YR 6/8) dappled light red, completely decomposed, TUFF BRECCIA. (Very stiff, slightly sandy clayey SILT with occasional angular fine gravel);Tuff Breccia (Clayey Silty Sand);High
DH 6;1;5.00;7.10;Extremely weak to very weak, brownish yellow (10YR 6/8) dappled light red, very highly to completely decomposed, TUFF BRECCIA. (Slightly clayey silty SAND to SAND);Tuff Breccia (Silty Sand);High
DH 6;1;7.10;9.10;Extremely weak, light red (2.5YR 7/8) streaked dark grey, completely decomposed, TUFF BRECCIA. (Very stiff, slightly clayey sandy SILT);Tuff Breccia (Clayey Sandy Silt);High
DH 6;1;9.10;10.90;Extremely weak to very weak, light red (2.5YR 7/8) mottled reddish yellow, completely decomposed, TUFF CLAYSTONE. (Very stiff, slightly sandy clayey SILT);Tuff Claystone;High
DH 6;1;10.90;11.75;weak, brownish yellow (10YR 6/8) dappled light red, highly decomposed, TUFF BRECCIA. (Slightly clayey silty SAND to fine GRAVEL of tuff breccia fragments);Tuff Breccia (Silty Sand with Gravel);High
DH 6;1;11.75;12.50;Very weak, brownish yellow (10YR 6/8) dappled light red, highly decomposed, TUFF BRECCIA. (Very stiff, slightly clayey sandy SILT);Tuff Breccia (Clayey Sandy Silt);High
DH 6;1;12.50;14.00;Moderately strong, light grey mottled light red and brownish yellow, moderately decomposed, TUFF BRECCIA. (CORESTONE);Tuff Breccia (Corestone);High
DH 6;1;14.00;14.20;No recovery, assumed to be completely decomposed TUFF BRECCIA.;No Recovery;High
DH 6;1;14.20;16.10;Weak, light red (2.5YR 7/8) and light grey (5Y 7/1), highly decomposed, TUFF BRECCIA. (Subangular, slightly sandy fine to coarse GRAVEL of slightly decomposed tuff breccia fragments);Tuff Breccia (Sandy Gravel);High
DH 6;1;16.10;17.90;Moderately strong, light grey mottled light grey, moderately decomposed, TUFF BRECCIA. (CORESTONE);Tuff Breccia (Corestone);High
DH 6;1;17.90;19.10;Weak, brownish yellow (10YR 6/8) mottled light grey, highly decomposed, TUFF BRECCIA. (Subangular, slightly sandy fine to coarse GRAVEL of highly decomposed tuff breccia fragments);Tuff Breccia (Sandy Gravel);High
DH 6;1;19.10;19.20;No recovery, assumed to be completely decomposed TUFF BRECCIA.;No Recovery;High
DH 6;1;19.20;20.20;Weak, light olive grey (5Y 6/2) and brownish yellow (10YR 6/8) mottled light grey, highly decomposed, TUFF BRECCIA. (Very stiff, slightly clayey sandy silty fine to coarse GRAVEL of highly decomposed tuff breccia fragments);Tuff Breccia (Clayey Sandy Silt with Gravel);High
DH 6;1;20.20;20.30;decomposed tuff breccia fragments;Tuff Breccia Fragments;High
DH 6;1;20.30;22.40;No recovery;No Recovery;High
DH 6;1;22.40;23.90;Extremely weak, olive yellow (5Y 6/8), completely decomposed, TUFF BRECCIA. (Very stiff, sandy SILT);Tuff Breccia (Silt);High
DH 6;1;23.90;24.40;Weak to moderately weak, light olive grey (5Y 6/2) mottled light red (7.5R 6/6), highly decomposed, TUFF BRECCIA. (Angular, slightly sandy fine to coarse GRAVEL of highly decomposed tuff breccia fragments);Tuff Breccia (Sandy Gravel);High
DH 6;1;24.40;25.40;No recovery;No Recovery;High
DH 6;1;25.40;26.60;Extremely weak, light olive grey (5Y 6/2) mottled brownish yellow, completely decomposed, TUFF BRECCIA. (Very stiff, slightly clayey to coarse SAND with occasional angular fine gravel);Tuff Breccia (Clayey Sand with Gravel);High
DH 6;1;26.60;28.00;Moderately strong to strong, dark grey and greenish grey, rough planar, rough stepped and rough undulating, iron oxide stained, fresh to slightly weathered, TUFF BRECCIA. (Joints are very closely to closely spaced).;Tuff Breccia;High
DH 6;1;28.00;30.00;Moderately to very strong, grey and olive grey, moderately decomposed, TUFF BRECCIA.;Tuff Breccia;High
DH 6;1;30.00;30.40;No recovery;No Recovery;High
DH 6;1;30.40;31.18;Moderately decomposed TUFF BRECCIA.;Tuff Breccia;High
DH 6;1;31.18;33.40;No recovery;No Recovery;High
DH 6;1;33.40;41.76;Strong to very strong, dark grey and greenish grey, rough planar, rough stepped and rough undulating, iron oxide stained, fresh to slightly weathered, TUFF BRECCIA. (Joints are very closely to closely spaced).;Tuff Breccia;High
