sep=;
Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
DH19;1;0.00;2.00;Angular red brick and concrete fragments with some grey, silty SAND.(FILL);FILL;High
DH19;1;2.00;18.50;Wash Boring.(No Recovery);No Recovery;High
DH19;2;18.50;19.30;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some brown, silty SAND.(ALLUVIUM);ALLUVIUM;High
DH19;2;19.30;24.30;Wash Boring.(No Recovery);No Recovery;High
DH19;3;24.30;30.37;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees, 30 degrees-40 degrees and vertical joints. Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE at 24.30m-24.60m. No Recovery at 24.60m-24.64m.;GRANITE;High
DH34;1;0.00;0.20;Concrete Slab.;Concrete;High
DH34;1;0.20;0.80;Brown, gravelly silty medium to coarse SAND. (FILL);Fill (Sand);High
DH34;1;0.80;6.30;Concrete with Cobbles and Gravels of moderately decomposed granite. (FILL);Fill (Concrete/Granite);High
DH34;1;6.30;9.00;Angular Boulders, Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some concrete fragments. (FILL);Fill (Gravel/Sand);High
DH34;1;9.00;21.00;Wash boring. (No recovery);No Recovery;High
DH34;3;21.00;21.50;Sub-rounded Cobbles and Gravels of moderately decomposed tuff and granite with some brown, silty SAND. (ALLUVIUM);Alluvium (Gravel/Sand);High
DH34;3;21.50;26.66;Wash boring. (No recovery);No Recovery;High
DH34;3;26.66;32.53;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees.;Granite;High
DH40;1;0.00;0.20;Concrete Slab.;Concrete;High
DH40;1;0.20;1.00;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
DH40;1;1.00;8.60;Angular GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown, silty SAND and some red bricks and concrete fragments. (FILL);Fill;High
DH40;1;8.60;24.41;Wash boring. (No recovery);No recovery;High
DH40;3;24.41;24.70;24.41m-24.70m: no recovery.;No recovery;High
DH40;3;24.70;25.25;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees & 70 degrees-80 degrees.;Granite;High
DH40;3;25.25;25.58;25.25m-25.58m: weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;High
DH40;3;25.58;29.95;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees & 70 degrees-80 degrees.;Granite;High
DH42;1;0.00;0.20;Concrete Slab.;FILL;High
DH42;1;0.20;0.80;Brown, gravelly silty medium to coarse SAND. (FILL);FILL;High
DH42;1;0.80;1.40;Concrete with cobbles and gravels of moderately decomposed granite with some brown, silty SAND and some red bricks. (FILL);FILL;High
DH42;1;1.40;4.00;Wash boring. (No recovery);No Recovery;High
DH42;1;4.00;6.20;Angular Boulders, Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some red bricks. (FILL);FILL;High
DH42;1;6.20;29.00;Wash boring. (No recovery);No Recovery;High
DH42;3;29.00;29.10;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;High
DH42;3;29.10;34.99;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10 degrees-20 degrees, 50 degrees-65 degrees.;Granite;High
