Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
B6b;1;0.00;24.32;Wash boring (0.00-1.00m). Inspection pit (0.00-2.00m). No material description beyond 2.00m.;No Recovery;High
B6b;3;24.32;27.50;Moderately strong, brownish grey spotted yellow, moderately fine-grained DECOMPOSED GRANITE with closely spaced, extremely narrow rough undulang, limonite and Manganese stained joints, dipping 15°-35°;Decomposed Granite;High
B6b;3;27.50;30.41;Strong, pinkish grey spotted black, slightly decomposed, medium-grained GRANITE, with closely to medium spaced, rough undulang, generally narrow, clean joints, dipping 5°-10°.;Granite;High
P2;1;0.00;1.42;Wash boring.;No Recovery;High
P2;1;1.42;6.75;Rounded and sub-rounded COBBLES, with occasional BOULDERS and CONCRETE. No recovery, assumed finer material washed out. (FILL).;Fill;High
P2;2;6.75;15.00;Wash boring.;No Recovery;High
P2;2;15.00;18.00;Rounded and sub-rounded COBBLES and fine to coarse SAND with no recovery, assumed finer material washed out. (FILL).;Fill;High
P2;3;18.00;24.69;Wash boring.;No Recovery;High
P2;3;24.69;26.25;Moderately weak, brownish grey spotted yellow, highly decomposed, medium to fine GRAINITE, extremely closely spaced. Moderately weak, dark narrow rough undulating, limonite and manganese veinlets, dipping 5°-10°.;Granite;High
P2;4;26.25;30.79;Moderately strong, brownish grey spotted yellow, highly decomposed, medium grained GRAINITE, extremely closely spaced, narrow to very narrow rough undulating limonite and manganese stained joints, dipping 5°-10° and 15°-35°.;Granite;High
P61;1;0.00;1.60;Wash boring.;Wash boring;High
P61;1;1.60;2.89;Concrete.;Concrete;High
P61;1;2.89;3.13;Wash boring.;Wash boring;High
P61;1;3.13;18.00;Granite;Granite;High
P61;2;18.00;24.70;Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE, with bands of medium sand in very narrow to extremely narrow, tough reddish brown and red stained joints, dipping 5-10°.;Granite;High
P61;3;24.70;25.80;Strong to moderately strong, slightly to moderately decomposed zone.;Decomposed Granite;High
P63;1;0.00;2.00;wash boring;Wash Boring;High
P63;1;2.00;3.50;Rounded to subrounded COBBLES and fine to coarse GRAVEL and CONCRETE. No recovery reported. (fill material washed out) (FILL);Fill (Gravel/Cobbles);High
P63;1;3.50;17.55;wash boring;Wash Boring;High
P63;2;17.55;20.30;Moderately strong, brownish grey, mottled grey, medium to decomposed, medium grained GRANITE with very closely spaced, moderately narrow to narrow, rough to undulating, biotite and manganese stained joints, dipping 30° to 35° and occasional subvertical.;Granite (Rock);High
P63;3;20.30;25.25;Strong to moderately strong, pinkish grey, mottled black and white, medium to moderately decomposed, medium grained GRANITE with closely spaced, moderately narrow to extremely narrow, rough to undulating, biotite stained joints, dipping 5° to 10°.;Granite (Rock);High
P4;1;0.00;2.80;wash boring;Wash Boring;High
P4;1;2.80;3.30;Rounded and subrounded COBBLES in a fine to coarse GRAVEL. No recovery assumed finer material washed out.;Gravel with Cobbles;High
P4;1;3.30;19.17;wash boring;Wash Boring;High
P4;2;19.17;19.30;No recovery;No Recovery;High
P4;3;19.30;23.40;wash boring;Wash Boring;High
P4;3;23.40;24.32;Rounded and subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed finer material washed out.;Gravel with Cobbles;High
P4;3;24.32;25.84;Moderately weak, brownish grey, spotted black and yellow, moderately decomposed, medium grained GRANITE with closely to widely spaced, narrow, rough undulating, limonitic stained and weathered joints dipping 15° to 35°.;Granite;High
P4;3;25.84;27.05;Moderately strong, brownish grey, spotted black, moderately to highly decomposed, medium grained GRANITE with extremely closely to closely spaced, weathered, narrow to narrow, rough steeped, limonitic and weathered stained joints, dipping 15° to 35°.;Granite;High
P4;3;27.05;28.15;Moderately strong to strong, brownish grey, spotted black and white, moderately to slightly decomposed, medium grained GRANITE with closely to widely spaced, very rough to extremely narrow, limonitic stained joints, dipping 5° to 35°.;Granite;High
P4;3;28.15;28.92;Strong, brownish grey, spotted black and white, slightly decomposed, medium grained GRANITE with medium spaced, extremely narrow, clean joints, dipping 5° to 10°.;Granite;High
P1;1;0.00;3.00;0.00-3.00m: wash boring;Wash Boring;High
P1;1;3.00;17.00;Rounded and subrounded COBBLES, fine to coarse GRAVEL and SAND. 3:30-17:00m: washed boring;Cobbles, Gravel, Sand;High
P1;2;17.00;17.50;No recovery;No recovery;High
P1;2;17.50;24.98;Rounded and subrounded COBBLES and fine to coarse GRAVEL. No recovery of finer material washed out. 17.50-24.98m: wash boring;Cobbles, Gravel;High
P1;3;24.98;28.38;Moderately strong to moderately weak, brown to grey, mottled black and yellow, moderately to highly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough and manganese stained joints, dipping 15° to 35°;Granite;High
P1;3;28.38;30.91;Strong, pinkish grey, spotted black and white, slightly decomposed medium grained GRANITE with widely spaced, undulated, very narrow, rough undulating, clean joints, dipping 15° to 35°;Granite;High
C3;1;0.00;1.00;Concrete Slab. Dark grey with cobbles and gravels of moderately decomposed granite and steel bars. (FILL);Fill;High
C3;1;1.00;21.45;Wash boring. (No recovery);No Recovery;High
C3;3;21.45;22.90;Strong, pinkish grey spotted black and white, slightly decomposed coarse to fine grained GRANITE with widely to medium spaced, with moderately close fractures, rough planar, limonitic, manganese stained. Moderately open joint, dipping 10°-20°, 70°-85°.;Granite;High
C3;3;22.90;28.70;Strong, pinkish grey to yellowish white, moderately decomposed medium to coarse grained GRANITE.;Granite;High
A5a;1;0.00;1.50;Angular COBBLES and GRAVELS of moderately decomposed granite with some clayey sand and some concrete fragments. (FILL);Fill;High
A5a;1;1.50;19.30;Wash Boring. (No Recovery);No Recovery;High
A5a;1;19.30;19.50;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some clayey sand (ALLUVIUM);Alluvium;High
A5a;1;19.50;20.70;Wash Boring. (No Recovery);No Recovery;High
A5a;1;20.70;25.90;Moderately strong, brownish pink spotted black and white, moderately weathered to medium grained GRANITE with medium to widely spaced, moderately closely to very narrow, rough planar, biotite, chlorite and stained kaolin coated joints dipping 10°-20° and 70°-80°;Granite;High
B2;1;0.00;2.94;Concrete Slab. Wash boring. (No recovery);No Recovery;High
B2;1;2.94;3.30;Concrete with cobbles and gravels of moderately decomposed granite.;FILL;High
B2;1;3.30;24.60;Wash boring. (No recovery);No Recovery;High
B2;3;24.60;25.60;Moderately weak to moderately strong, brownish pink spotted black and white, finely to medium to coarse grained GRANITE with moderately close to very close, narrow to extremely narrow, rough planar and non-planar chlorite and chlorite stained joints, dipping 10°-20°, 40°-50°, 70°-80°.;GRANITE;High
B2;3;25.60;25.74;weak to moderately weak, brownish pink spotted black and white, finely to medium to coarse grained GRANITE.;GRANITE;High
B2;3;25.74;34.17;Moderately weak to moderately strong, brownish pink spotted black and white, finely to medium to coarse grained GRANITE with moderately close to very close, narrow to extremely narrow, rough planar and non-planar chlorite and chlorite stained joints, dipping 10°-20°, 40°-50°, 70°-80°.;GRANITE;High
B2a;1;0.00;0.24;Concrete Slab.;Concrete;High
B2a;1;0.24;1.10;Wash boring. (No recovery);No Recovery;High
B2a;1;1.10;1.40;Concrete with cobbles and gravels of moderately decomposed granite and occasionally some steel fragment. (FILL);Fill;High
B2a;1;1.40;18.00;Wash boring. (No recovery);No Recovery;High
B2a;2;18.00;18.50;Sub-rounded cobbles and gravels of moderately decomposed granite and weathered fine-grained, silty SAND (ALLUVIUM). Wash boring. (No recovery);Alluvium/Sand;High
B2a;2;18.50;22.80;Wash boring. (No recovery);No Recovery;High
B2a;3;22.80;23.40;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE;Granite;High
B2a;3;23.40;25.80;No recovery.;No Recovery;High
B2a;3;25.80;31.56;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE;Granite;High
B3c;1;0.00;0.50;Concrete Slab with steel bars.;Concrete;High
B3c;1;0.50;14.90;Wash boring. (No recovery);No recovery;High
B3c;2;14.90;15.10;No recovery;No recovery;High
B3c;2;15.10;19.34;Moderately strong to strong, pinkish grey, fine to coarse grained, moderately to slightly decomposed non-foliated FINE-GRAINED GRANITE with widely spaced, extremely narrow to wide, planar, smooth, iron stained and clean joints, dipping 10°-20°, 60°-70°, 80°-85°.;Granite;High
B3c;3;19.34;19.57;no recovery.;No recovery;High
B3c;3;19.57;19.75;Moderately strong to strong, pinkish grey, fine to coarse grained, moderately to slightly decomposed non-foliated FINE-GRAINED GRANITE with widely spaced, extremely narrow to wide, planar, smooth, iron stained and clean joints, dipping 10°-20°, 60°-70°, 80°-85°.;Granite;High
B3c;3;19.75;28.13;No recovery;No recovery;High
B3;1;0.00;0.50;Concrete Slab. Wash boring. (No recovery);Concrete / No Recovery;High
B3;1;0.50;3.59;Concrete with cobbles and gravels of subrounded decomposed granite, occasionally some red bricks. (FILL);Fill;High
B3;1;3.59;19.20;Wash boring. (No recovery);No Recovery;High
B3;2;19.20;20.63;Subrounded Cobbles and Gravels of moderately decomposed granite and tuff with pale brown, silty SAND. (ALLUVIUM);Alluvium;High
B3;3;20.63;27.77;Moderately strong, brownish pink spotted, fine to coarse, moderately decomposed medium to coarse grained GRANITE. With closely to medium spaced and occasionally closely spaced, very narrow to extremely narrow and occasionally narrow, rough planar, smooth, manganese coated and chlorite stained joints, dipping 10°-20°, 40°-50°.;Granite;High
B1a;1;0.00;0.20;CONCRETE SLAB;Concrete;Medium
B1a;1;0.20;2.00;Brown, gravelly silty medium to coarse SAND. (FILL);Fill / Sand;Medium
B1a;1;2.00;11.00;Wash boring. No recovery at 2.00m-11.00m.;No Recovery;Medium
B1a;1;11.00;11.30;Sub-rounded to sub-angular completely decomposed granite and tuff with abundant silty sand. (ALLUVIUM);Alluvium;Medium
B1a;1;11.30;16.50;Wash boring. No recovery at 11.30m-16.50m;No Recovery;Medium
B1a;1;16.50;16.90;No recovery (gap between described wash boring sections);No Recovery;Medium
B1a;1;16.90;17.50;Wash boring. No recovery at 16.90m-18.30m (partial);No Recovery;Medium
B1a;1;17.50;19.00;Sub-rounded to sub-angular completely decomposed granite and tuff with abundant silty sand. (ALLUVIUM);Alluvium;Medium
B1a;1;19.00;23.54;Wash boring. No recovery at 19.00m-23.54m.;No Recovery;Medium
B1a;1;23.54;32.20;Moderately strong to strong, brownish pink spotted black and white, fine to medium to coarse grained GRANITE (partially weathered and altered) very narrow to extremely narrow, rough planar, generally closely to moderately jointed and kaolin coated joints, dipping. 10°-20°, 30°-40° and 50°-60°.;Granite;Medium
C2;1;0.00;0.74;Concrete with steel bar.;Concrete;High
C2;1;0.74;1.50;Wash boring. (No recovery);No recovery;High
C2;1;1.50;4.90;ANGULAR BOULDER, COBBLES AND PEBBLES of moderately decomposed granite and tuff with some brown, silty SAND. (FILL);Fill (Boulder/Sand);High
C2;1;4.90;19.60;Wash boring. (No recovery);No recovery;High
